,clones,clones_unique,views,views_unique,issues_closed,issues_open,pulls_closed,pulls_open,forks,stargazers,subscribers,contributors,commits,total_commits,pypi_daily,pypi_180_cumulative,updated_on
2024-11-07,1.0,1.0,22,13,115,17,168,1,62,193,26,16,0,776,36.0,1568.0,2024-11-20
2024-11-08,0.0,0.0,19,11,115,17,168,1,62,193,26,16,0,776,44.0,1612.0,2024-11-20
2024-11-09,0.0,0.0,9,7,115,17,168,1,62,193,26,16,0,776,22.0,1634.0,2024-11-20
2024-11-10,0.0,0.0,17,8,115,17,168,1,62,193,26,16,0,776,0.0,1634.0,2024-11-20
2024-11-11,5.0,2.0,28,13,115,17,168,1,62,193,26,16,0,776,5.0,1639.0,2024-11-20
2024-11-12,1.0,1.0,31,5,115,17,168,1,62,193,26,16,0,776,11.0,1650.0,2024-11-20
2024-11-13,0.0,0.0,20,9,115,17,168,1,62,193,26,16,0,776,0.0,1650.0,2024-11-20
2024-11-14,2.0,2.0,105,11,115,17,168,1,62,193,26,16,0,776,34.0,1684.0,2024-11-20
2024-11-15,0.0,0.0,86,19,115,17,168,1,62,193,26,16,0,776,13.0,1697.0,2024-11-20
2024-11-16,1.0,1.0,27,11,115,17,168,1,62,193,26,16,0,776,37.0,1734.0,2024-11-20
2024-11-17,1.0,1.0,6,5,115,17,168,1,62,193,26,16,0,776,2.0,1736.0,2024-11-20
2024-11-18,7.0,2.0,32,16,115,17,168,1,62,193,26,16,0,776,40.0,1776.0,2024-11-20
2024-11-19,0.0,0.0,21,15,115,17,168,1,62,193,26,16,0,776,30.0,1806.0,2024-11-20
2024-11-20,0.0,0.0,46,7,115,17,168,1,62,193,26,16,0,776,0.0,1806.0,2024-11-20
